DatetimeIndex,open,high,low,close
2018-12-04,10877.10,10890.95,10833.35,10869.50
2018-12-05,10820.45,10821.05,10747.95,10782.90
2018-12-06,10718.15,10722.65,10588.25,10601.15
2018-12-07,10644.80,10704.55,10599.35,10693.70
2018-12-10,10508.70,10558.85,10474.95,10488.45
2018-12-11,10350.05,10567.15,10333.85,10549.15
2018-12-12,10591.00,10752.20,10560.80,10737.60
2018-12-13,10810.75,10838.60,10749.50,10791.55
2018-12-14,10784.50,10815.75,10752.10,10805.45
2018-12-17,10853.20,10900.35,10844.85,10888.35
2018-12-18,10850.90,10915.40,10819.10,10908.70
2018-12-19,10930.55,10985.15,10928.00,10967.30
2018-12-20,10885.20,10962.55,10880.05,10951.70
2018-12-21,10944.25,10963.65,10738.65,10754.00
2018-12-24,10780.90,10782.30,10649.25,10663.50
2018-12-26,10635.45,10747.50,10534.55,10729.85
2018-12-27,10817.90,10834.20,10764.45,10779.80
2018-12-28,10820.95,10893.60,10817.15,10859.90
2018-12-31,10913.20,10923.55,10853.20,10862.55
2019-01-01,null,null,null,null
2019-01-02,10868.85,10895.35,10735.05,10792.50
2019-01-03,10796.80,10814.05,10661.25,10672.25
2019-01-04,10699.70,10741.05,10628.65,10727.35
2019-01-07,10804.85,10835.95,10750.15,10771.80
2019-01-08,10786.25,10818.45,10733.25,10802.15
2019-01-09,10862.40,10870.40,10749.40,10855.15
2019-01-10,10859.35,10859.35,10801.80,10821.60
2019-01-11,10834.75,10850.15,10739.40,10794.95
2019-01-14,10807.00,10808.00,10692.35,10737.60
2019-01-15,10777.55,10896.95,10777.55,10886.80
2019-01-16,10899.65,10928.15,10876.90,10890.30
2019-01-17,10920.85,10930.65,10844.65,10905.20
2019-01-18,10914.85,10928.20,10852.20,10906.95
2019-01-21,10919.35,10987.45,10885.75,10961.85
2019-01-22,10949.80,10949.80,10864.15,10922.75
2019-01-23,10931.05,10944.80,10811.95,10831.50
2019-01-24,10844.05,10866.60,10798.65,10849.80
2019-01-25,10859.75,10931.70,10756.45,10780.55
2019-01-28,10792.45,10804.45,10630.95,10661.55
2019-01-29,10653.70,10690.35,10583.65,10652.20
2019-01-30,10702.25,10710.20,10612.85,10651.80
2019-01-31,10690.55,10838.05,10678.55,10830.95
2019-02-01,10851.35,10983.45,10813.45,10893.65
2019-02-04,10876.75,10927.90,10814.15,10912.25
2019-02-05,10908.65,10956.70,10886.70,10934.35
2019-02-06,10965.10,11072.60,10962.70,11062.45
2019-02-07,11070.45,11118.10,11043.60,11069.40
2019-02-08,11023.50,11041.20,10925.45,10943.60
2019-02-11,10930.90,10930.90,10857.10,10888.80
2019-02-12,10879.70,10910.90,10823.80,10831.40
2019-02-14,10786.10,10792.70,10718.75,10746.05
2019-02-15,10780.25,10785.75,10620.40,10724.40
2019-02-18,10738.65,10759.90,10628.40,10640.95
2019-02-19,10636.70,10722.85,10585.65,10604.35
2019-02-20,10655.45,10752.70,10646.40,10735.45
2019-02-21,10744.10,10808.85,10721.50,10789.85
2019-02-22,10782.70,10801.55,10758.40,10791.65
2019-02-25,10813.25,10887.10,10788.05,10880.10
2019-02-26,10775.30,10888.75,10729.30,10835.30
2019-02-27,10881.20,10939.70,10751.20,10806.65
2019-02-28,10865.70,10865.70,10784.85,10792.50
2019-03-01,10842.65,10877.90,10823.10,10863.50
2019-03-05,10864.85,10994.90,10817.00,10987.45
2019-03-06,11024.85,11062.30,10998.85,11053.00
2019-03-07,11077.95,11089.05,11027.10,11058.20
2019-03-08,11038.85,11049.00,11008.95,11035.40
2019-03-11,11068.75,11180.90,11059.85,11168.05
2019-03-12,11231.35,11320.40,11227.00,11301.20
2019-03-13,11326.20,11352.30,11276.60,11341.70
2019-03-14,11382.50,11383.45,11313.75,11343.25
2019-03-15,11376.85,11487.00,11370.80,11426.85
2019-03-18,11473.85,11530.15,11412.50,11462.20
2019-03-19,11500.30,11543.85,11451.25,11532.40
